,slide_id,case_id,magnification,level_downsamples
0,TCGA-02-0003-01Z-00-DX3.995C2924-E298-4517-82A4-15806766CE31,TCGA-02-0003,40x,"(1.0, 4.000162444953629, 16.002635252681365)"
1,TCGA-02-0009-01Z-00-DX3.BAA1276B-E4D7-43D4-BDDF-807532462518,TCGA-02-0009,40x,"(1.0, 4.000134383359544, 16.00150157275857, 32.00300314551714)"
2,TCGA-02-0011-01Z-00-DX1.7CF44982-AE5A-47A5-8D07-E526522DC094,TCGA-02-0011,40x,"(1.0, 4.000073468188274, 16.000685736677116, 32.00137147335423)"
3,TCGA-02-0016-01Z-00-DX1.BDC4422F-DA4A-4239-B2CF-F19796446767,TCGA-02-0016,40x,"(1.0, 4.000173957234969, 16.00269592161413, 32.009682465311336)"
4,TCGA-02-0027-01Z-00-DX1.8F83A541-8884-45C8-BE51-04ADE5D8D6F2,TCGA-02-0027,40x,"(1.0, 4.00015031049991, 16.00258738117006, 32.00852954338757)"
5,TCGA-02-0034-01Z-00-DX3.5982B9BA-7F60-4A41-979A-5BF3C81CC74D,TCGA-02-0034,40x,"(1.0, 4.000111210279892, 16.00230971151435, 32.0046194230287)"
6,TCGA-02-0037-01Z-00-DX2.18F6DD22-94C4-4808-8957-213D4A101F83,TCGA-02-0037,40x,"(1.0, 4.000071718862061, 16.002694822460032, 32.00875151897026)"
7,TCGA-02-0038-01Z-00-DX1.5E369837-371E-4845-AD78-84BB48E1A082,TCGA-02-0038,40x,"(1.0, 4.000143830562101, 16.002360417067077, 32.004720834134154)"
8,TCGA-02-0047-01Z-00-DX1.4755D138-5842-4159-848C-4248D6D53DE0,TCGA-02-0047,40x,"(1.0, 4.000149610030963, 16.001693967853686, 32.009773620584426)"
9,TCGA-02-0048-01Z-00-DX1.ADB8ABD8-E1A1-4708-8ADF-0DE96AFADA27,TCGA-02-0048,40x,"(1.0, 4.00007938523356, 16.001703325559653, 32.003406651119306)"
10,TCGA-02-0052-01Z-00-DX1.93BA650B-4E71-43D8-9974-16185F906EB8,TCGA-02-0052,40x,"(1.0, 4.000044957290574, 16.001129085398937, 64.01971005168895)"
11,TCGA-02-0054-01Z-00-DX1.B8AFCEF2-4ED1-4329-854A-313AAECF3093,TCGA-02-0054,40x,"(1.0, 4.000169958942008, 16.001114069682735, 32.00600723912516)"
12,TCGA-02-0058-01Z-00-DX1.6A05C2EB-C782-4F55-A12D-0339747E9BD3,TCGA-02-0058,40x,"(1.0, 4.000059062093948, 16.000933020159003, 32.007441439646726)"
13,TCGA-02-0068-01Z-00-DX1.B1C4CAA6-6493-4AA1-9A48-B4336BB8D16A,TCGA-02-0068,40x,"(1.0, 4.000142056351507, 16.002344414512088, 32.00957964496881)"
14,TCGA-02-0069-01Z-00-DX1.A8BFC1F6-4C3F-4543-86CA-90BBBC627564,TCGA-02-0069,40x,"(1.0, 4.0001636513448595, 16.003273562893156, 32.01011930156021)"
15,TCGA-02-0070-01Z-00-DX1.5E0E6185-E40B-4BDB-A762-03399FBD7C12,TCGA-02-0070,40x,"(1.0, 4.000151217889691, 16.001609087167278, 32.00967239981085)"
16,TCGA-02-0071-01Z-00-DX1.B9C1B58E-7A88-4C92-9E4C-2961A710F9A4,TCGA-02-0071,40x,"(1.0, 4.000164371769875, 16.001534221525603, 32.00694858295656)"
17,TCGA-02-0074-01Z-00-DX1.41EA5863-D100-444D-AC5F-E2E5F5A22D20,TCGA-02-0074,40x,"(1.0, 4.000092956247017, 16.00063519730562, 32.00405985566672)"
18,TCGA-02-0075-01Z-00-DX1.2BFAAE68-2B16-4F00-B412-074E7073EBD3,TCGA-02-0075,40x,"(1.0, 4.000073468188274, 16.001884059025826, 32.00376811805165)"
19,TCGA-02-0079-01Z-00-DX1.846D3C54-C7BD-477F-A33A-D7641DD1CCEC,TCGA-02-0079,40x,"(1.0, 4.000111628204193, 16.00182166239098, 32.00693305202273)"
20,TCGA-02-0086-01Z-00-DX1.E43AA83C-3FD5-4807-A272-8C5415A9226A,TCGA-02-0086,40x,"(1.0, 4.00011811366346, 16.002759907088617, 32.00844215506942)"
21,TCGA-02-0099-01Z-00-DX1.E3BD2989-346F-4580-9E67-23BEEA35094E,TCGA-02-0099,40x,"(1.0, 4.000062753629251, 16.002126310264895, 32.00693131327506)"
22,TCGA-02-0115-01Z-00-DX1.9261988C-1002-4E99-8611-46C722FE49C5,TCGA-02-0115,40x,"(1.0, 4.000099068372172, 16.00216301008559, 32.01103224756085)"
23,TCGA-02-0258-01Z-00-DX2.83DFCB56-FA4A-4F9D-ADA3-CE0C15C81A92,TCGA-02-0258,40x,"(1.0, 4.000175920960688, 16.002587302544633, 32.005174605089266)"
24,TCGA-02-0266-01Z-00-DX2.067FCC66-A77D-4B5C-BF64-9347007B1A81,TCGA-02-0266,40x,"(1.0, 4.000157503245504, 16.00260787175612, 32.00521574351224)"
25,TCGA-02-0281-01Z-00-DX2.4B07E89B-F739-46F6-919C-CA9C716F039E,TCGA-02-0281,40x,"(1.0, 4.000170291758894, 16.00286311618474, 32.00864857326167)"
26,TCGA-02-0289-01Z-00-DX2.4C3CD7F5-C51B-4818-8E7F-7AF0D7A46685,TCGA-02-0289,40x,"(1.0, 4.0001710563674315, 16.003086276347737, 32.01128253627162)"
27,TCGA-02-0317-01Z-00-DX2.15FFEA24-40C1-42C8-AE60-9CD346EE171A,TCGA-02-0317,40x,"(1.0, 4.000102663269278, 16.001615759707953, 32.00994894171834)"
28,TCGA-02-0321-01Z-00-DX2.D25B4964-AF94-46A5-8035-C98A61D387C8,TCGA-02-0321,40x,"(1.0, 4.000105068670384, 16.00144576212068, 32.00847482639882)"
29,TCGA-02-0325-01Z-00-DX2.96FDB1EC-34F1-4E8D-A021-DD1A481AF127,TCGA-02-0325,40x,"(1.0, 4.000070050903657, 16.001949735297096, 32.00688925155046)"
30,TCGA-02-0326-01Z-00-DX2.BDF167EF-A9C3-4BCC-AF1E-F68C55149FF9,TCGA-02-0326,40x,"(1.0, 4.00007530498519, 16.003168376433095, 32.00955150028547)"
31,TCGA-02-0330-01Z-00-DX2.C51F90F7-86E4-4668-9F96-8CE20A30B3A9,TCGA-02-0330,40x,"(1.0, 4.0001397385379835, 16.00141968595017, 32.00880343280332)"
32,TCGA-02-0333-01Z-00-DX2.2163628B-0639-46D6-9587-060955EF1031,TCGA-02-0333,40x,"(1.0, 4.0000640888699, 16.001150217049364, 32.00945343508568)"
33,TCGA-02-0337-01Z-00-DX2.D9CB7383-D647-4B71-9127-D039A2C04B48,TCGA-02-0337,40x,"(1.0, 4.000125645448378, 16.002513252211926, 64.02078000288805)"
34,TCGA-02-0338-01Z-00-DX2.45827D5B-CF01-4AC9-BC51-EC3C521B1A1A,TCGA-02-0338,40x,"(1.0, 4.0001699709676055, 16.001053519224598, 32.00936142477873)"
35,TCGA-02-0339-01Z-00-DX2.540BCD7A-870E-469D-BC9D-FBB9E2FEBDB3,TCGA-02-0339,40x,"(1.0, 4.00012103238203, 16.00170679374487, 32.00687725935852)"
36,TCGA-02-0422-01Z-00-DX2.E354E17A-0E49-4BC7-A8B3-DB6CD1B936EE,TCGA-02-0422,40x,"(1.0, 4.000147016070805, 16.0019673208718, 32.0039346417436)"
37,TCGA-02-0432-01Z-00-DX1.83CB13A3-6ADD-4015-94BA-AA6A759F2F8F,TCGA-02-0432,40x,"(1.0, 4.000086063457456, 16.001318636126626, 32.01043471263715)"
38,TCGA-02-0439-01Z-00-DX3.4F0C70A8-08DE-41F0-AE10-160F250D5783,TCGA-02-0439,40x,"(1.0, 4.000073468188274, 16.000685736677116, 32.00137147335423)"
39,TCGA-02-0440-01Z-00-DX2.713DD2B7-CCCB-4E75-B51C-92790BFFB035,TCGA-02-0440,40x,"(1.0, 4.000065482167024, 16.00283459251609, 32.00973706748141)"
40,TCGA-02-0446-01Z-00-DX2.DDC76DDC-183C-4B49-8F30-E7945BFDB0BD,TCGA-02-0446,40x,"(1.0, 4.000146961330247, 16.00086014634936, 32.00389907170597)"
41,TCGA-02-0451-01Z-00-DX3.D714D6E1-B97F-41CA-A836-3334EA1B31A5,TCGA-02-0451,40x,"(1.0, 4.000092063772552, 16.00226685443713, 32.00453370887426)"
42,TCGA-06-5408-01Z-00-DX1.4c572122-e7f8-488b-aad1-089301ba2a84,TCGA-06-5408,40x,"(1.0, 4.000047931745195, 16.004516885053796, 32.012102946280166)"
43,TCGA-06-5410-01Z-00-DX1.6fca0716-7c1d-4545-bdde-9cdb3aa6aa5f,TCGA-06-5410,40x,"(1.0, 4.000038611529403, 16.004136237885902, 32.008272475771804)"
44,TCGA-06-5411-01Z-00-DX1.08bf7f79-7346-4b1b-b8a7-e24abf11e848,TCGA-06-5411,40x,"(1.0, 4.000151144233731, 16.00331619524068, 32.01484495415241)"
45,TCGA-06-5412-01Z-00-DX1.039632bd-2493-4a78-839c-3734eae662f8,TCGA-06-5412,40x,"(1.0, 4.000134618443958, 16.00269273452834, 32.008526997141246)"
46,TCGA-06-5413-01Z-00-DX1.6c5e8a47-c2d0-4873-9b32-36857c5f67ac,TCGA-06-5413,40x,"(1.0, 4.000105777028706, 16.00251304049852, 32.00761764625241)"
47,TCGA-06-5414-01Z-00-DX1.9b71e393-8801-480b-90a0-ee533ed24b0c,TCGA-06-5414,40x,"(1.0, 4.000061932287366, 16.00245280081429, 32.01343253852582)"
48,TCGA-06-5415-01Z-00-DX1.182e6c05-1ead-480f-8ffb-deca12aacbd2,TCGA-06-5415,40x,"(1.0, 4.000090268747735, 16.002866672123098, 32.00880252041876)"
49,TCGA-06-5416-01Z-00-DX1.43924d9a-373d-4c69-bc85-4d0d0f26fc14,TCGA-06-5416,40x,"(1.0, 4.0, 16.001915708812263, 32.00637352121524)"
50,TCGA-06-5417-01Z-00-DX1.bf70952e-fdb5-4d0a-b0c1-2823e908f599,TCGA-06-5417,40x,"(1.0, 4.000132345143959, 16.00358768725665, 32.01784476304553)"
51,TCGA-06-5418-01Z-00-DX1.8c45ebb4-528d-4d2d-bde0-05266b51f06c,TCGA-06-5418,40x,"(1.0, 4.000191528388852, 16.00254167184019, 32.01219030743662)"
52,TCGA-06-5856-01Z-00-DX1.9ba8a585-af7f-48b6-8724-ad0f439f4e17,TCGA-06-5856,40x,"(1.0, 4.000283232628399, 16.001132930513595)"
53,TCGA-06-5858-01Z-00-DX1.d964971f-f75f-478a-bc85-10a510bd2835,TCGA-06-5858,40x,"(1.0, 4.000036579120637, 16.00366203886836, 32.01905857979381)"
54,TCGA-06-5859-01Z-00-DX1.ab40e405-f25a-4fd2-95a2-ed86f8a2007f,TCGA-06-5859,40x,"(1.0, 4.000061932287366, 16.00259102147518, 32.017206416189424)"
55,TCGA-06-6388-01Z-00-DX1.14c09c5f-3ea4-4e1e-a5e6-308325383165,TCGA-06-6388,40x,"(1.0, 4.0, 16.001245812026937, 32.00881112255808)"
56,TCGA-06-6389-01Z-00-DX1.ca78be78-49a5-4b56-9482-16ec5350bb40,TCGA-06-6389,40x,"(1.0, 4.000078649328859, 16.000314597315437, 32.00317129822159)"
57,TCGA-06-6390-01Z-00-DX1.b5ab515a-7b50-4e73-a999-f581232b005a,TCGA-06-6390,40x,"(1.0, 4.000228270359437, 16.00583992557117)"
58,TCGA-06-6391-01Z-00-DX1.b5200991-137b-49e9-965c-0d8465e0d63e,TCGA-06-6391,40x,"(1.0, 4.0, 16.00091407678245, 32.00678171393642)"
59,TCGA-08-0244-01Z-00-DX1.37361959-E91D-4B2F-8AB5-A4ED4AEC3A6E,TCGA-08-0244,40x,"(1.0, 4.000241118791191, 16.002250803858523)"
60,TCGA-08-0245-01Z-00-DX1.CFCAFA75-E128-47D9-9F16-43A175738145,TCGA-08-0245,40x,"(1.0, 4.000097618117923, 16.001431918771154, 64.02082782769557)"
61,TCGA-08-0246-01Z-00-DX1.F6215D43-42E5-41B6-AD72-FBC7E2A19D79,TCGA-08-0246,40x,"(1.0, 4.000072836748568, 16.001068376068375, 64.01416225581863)"
62,TCGA-08-0344-01Z-00-DX1.CBE3342B-101B-4610-809A-394AAA7ED421,TCGA-08-0344,40x,"(1.0, 4.000055102490633, 16.00022040996253, 32.00396825396825)"
63,TCGA-08-0345-01Z-00-DX1.DEC032EE-E0D3-4F8A-9008-063BDC17DFBF,TCGA-08-0345,40x,"(1.0, 4.0, 16.00185749242395, 32.0107891526486)"
